Date,Region,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-12-02,NOR,0,0,,
2020-12-03,NOR,,,,
2020-12-04,LVA,1,1,,
2020-12-04,NOR,,,,
2020-12-05,LVA,,,,
2020-12-05,NOR,,,,
2020-12-06,LVA,,,,
2020-12-06,NOR,,,,
2020-12-07,LVA,2,2,,
2020-12-07,NOR,,,,
2020-12-08,LVA,,,,
2020-12-08,NOR,5,5,,
2020-12-09,LVA,3,3,,
2020-12-09,NOR,6,6,,
2020-12-10,LVA,,,,
2020-12-10,NOR,7,7,,
2020-12-11,LVA,,,,
2020-12-11,NOR,11,11,,
2020-12-12,LVA,,,,
2020-12-12,NOR,12,12,,
2020-12-13,LVA,,,,
2020-12-13,NOR,,,,
2020-12-13,USA,45620,36817,9669,
2020-12-14,CAN,5,5,,
2020-12-14,LVA,,,,
2020-12-14,NOR,,,,
2020-12-14,USA,50468,41465,9833,
2020-12-15,CAN,726,726,,
2020-12-15,CHN,1500000,,,
2020-12-15,LVA,4,4,,
2020-12-15,NOR,14,14,,
2020-12-15,RUS,28500,28500,,
2020-12-15,USA,98353,87883,10161,
2020-12-16,CAN,3027,3027,,
2020-12-16,CHN,,,,
2020-12-16,LVA,5,5,,
2020-12-16,NOR,19,19,,
2020-12-16,RUS,,,,
2020-12-16,USA,258504,243398,10679,
2020-12-17,CAN,7282,7282,,
2020-12-17,CHN,,,,
2020-12-17,LVA,6,6,,
2020-12-17,NOR,28,28,,
2020-12-17,RUS,,,,
2020-12-17,USA,533742,511644,11505,
2020-12-18,CAN,11297,11297,,
2020-12-18,CHN,,,,
2020-12-18,DNK,2,2,,
2020-12-18,LVA,10,10,,
2020-12-18,NOR,43,43,,
2020-12-18,RUS,,,,
2020-12-18,USA,954790,923222,12831,
2020-12-19,CAN,12374,12374,,
2020-12-19,CHN,,,,
2020-12-19,DNK,,,,
2020-12-19,ISR,75,71,4,
2020-12-19,LVA,,,,
2020-12-19,NOR,48,48,,
2020-12-19,RUS,,,,
2020-12-19,USA,1139003,1103020,13990,
2020-12-20,CAN,13236,13236,,
2020-12-20,CHN,,,,
2020-12-20,DNK,,,,
2020-12-20,ISR,7472,7468,4,
2020-12-20,LVA,14,14,,
2020-12-20,NOR,55,55,,
2020-12-20,RUS,,,,
2020-12-20,USA,1246202,1207930,14813,
2020-12-21,CAN,21085,21085,,
2020-12-21,CHE,1,1,,
2020-12-21,CHN,,,,
2020-12-21,DNK,,,,
2020-12-21,ISR,32395,32391,4,
2020-12-21,LIE,0,0,,
2020-12-21,LVA,18,18,,
2020-12-21,NOR,69,69,,
2020-12-21,RUS,,,,
2020-12-21,USA,1633303,1587344,16487,
2020-12-22,CAN,26877,26876,1,
2020-12-22,CHE,3,3,,
2020-12-22,CHN,,,,
2020-12-22,DNK,,,,
2020-12-22,ISR,77064,77060,4,
2020-12-22,LIE,,,,
2020-12-22,LVA,23,23,,
2020-12-22,NOR,84,84,,
2020-12-22,QAT,0,,,
2020-12-22,RUS,52000,52000,,
2020-12-22,USA,2084575,2029284,19503,
2020-12-23,BHR,38965,38965,,
2020-12-23,CAN,35570,35569,1,
2020-12-23,CHE,430,406,,
2020-12-23,CHN,,,,
2020-12-23,DNK,,,,
2020-12-23,ISR,139981,139977,4,
2020-12-23,LIE,,,,
2020-12-23,LVA,27,27,,
2020-12-23,NOR,101,101,,
2020-12-23,QAT,,,,
2020-12-23,RUS,,,,
2020-12-23,USA,2662880,2595428,22769,
2020-12-24,BHR,50071,50071,,
2020-12-24,CAN,45773,45772,1,
2020-12-24,CHE,695,670,,
2020-12-24,CHL,420,420,,
2020-12-24,CHN,,,,
2020-12-24,CRI,55,55,,
2020-12-24,DNK,,,,
2020-12-24,ISR,213416,213412,4,
2020-12-24,LIE,,,,
2020-12-24,LVA,30,30,,
