Date,Region,Indicator,Value
2000-12-31,AFG,BCG_coverage_pct,30.0
2000-12-31,AFG,DTP3_coverage_pct,24.0
2000-12-31,AFG,HepB3_coverage_pct,0.0
2000-12-31,AFG,MCV1_measles_coverage_pct,27.0
2000-12-31,AGO,BCG_coverage_pct,54.0
2000-12-31,AGO,DTP3_coverage_pct,31.0
2000-12-31,AGO,HepB3_coverage_pct,0.0
2000-12-31,AGO,MCV1_measles_coverage_pct,41.0
2000-12-31,ALB,BCG_coverage_pct,93.0
2000-12-31,ALB,DTP3_coverage_pct,97.0
2000-12-31,ALB,HepB3_coverage_pct,96.0
2000-12-31,ALB,MCV1_measles_coverage_pct,95.0
2000-12-31,AND,DTP3_coverage_pct,98.0
2000-12-31,AND,HepB3_coverage_pct,84.0
2000-12-31,AND,MCV1_measles_coverage_pct,97.0
2000-12-31,ARE,BCG_coverage_pct,98.0
2000-12-31,ARE,DTP3_coverage_pct,94.0
2000-12-31,ARE,HepB3_coverage_pct,92.0
2000-12-31,ARE,MCV1_measles_coverage_pct,94.0
2000-12-31,ARG,BCG_coverage_pct,95.0
2000-12-31,ARG,DTP3_coverage_pct,83.0
2000-12-31,ARG,HepB3_coverage_pct,0.0
2000-12-31,ARG,MCV1_measles_coverage_pct,91.0
2000-12-31,ARM,BCG_coverage_pct,97.0
2000-12-31,ARM,DTP3_coverage_pct,93.0
2000-12-31,ARM,HepB3_coverage_pct,55.0
2000-12-31,ARM,MCV1_measles_coverage_pct,92.0
2000-12-31,ATG,DTP3_coverage_pct,95.0
2000-12-31,ATG,HepB3_coverage_pct,0.0
2000-12-31,ATG,MCV1_measles_coverage_pct,95.0
2000-12-31,AUS,DTP3_coverage_pct,90.0
2000-12-31,AUS,HepB3_coverage_pct,0.0
2000-12-31,AUS,MCV1_measles_coverage_pct,91.0
2000-12-31,AUT,DTP3_coverage_pct,81.0
2000-12-31,AUT,HepB3_coverage_pct,33.0
2000-12-31,AUT,MCV1_measles_coverage_pct,75.0
2000-12-31,AZE,BCG_coverage_pct,81.0
2000-12-31,AZE,DTP3_coverage_pct,76.0
2000-12-31,AZE,HepB3_coverage_pct,0.0
2000-12-31,AZE,MCV1_measles_coverage_pct,67.0
2000-12-31,BDI,BCG_coverage_pct,85.0
2000-12-31,BDI,DTP3_coverage_pct,80.0
2000-12-31,BDI,HepB3_coverage_pct,0.0
2000-12-31,BDI,MCV1_measles_coverage_pct,72.0
2000-12-31,BEL,DTP3_coverage_pct,95.0
2000-12-31,BEL,HepB3_coverage_pct,60.0
2000-12-31,BEL,MCV1_measles_coverage_pct,82.0
2000-12-31,BEN,BCG_coverage_pct,92.0
2000-12-31,BEN,DTP3_coverage_pct,78.0
2000-12-31,BEN,HepB3_coverage_pct,0.0
2000-12-31,BEN,MCV1_measles_coverage_pct,70.0
2000-12-31,BFA,BCG_coverage_pct,81.0
2000-12-31,BFA,DTP3_coverage_pct,45.0
2000-12-31,BFA,HepB3_coverage_pct,0.0
2000-12-31,BFA,MCV1_measles_coverage_pct,48.0
2000-12-31,BGD,BCG_coverage_pct,94.0
2000-12-31,BGD,DTP3_coverage_pct,82.0
2000-12-31,BGD,HepB3_coverage_pct,0.0
2000-12-31,BGD,MCV1_measles_coverage_pct,74.0
